role_id,package_id,year,package_label,package_description,classification,applicable_method_ids,affected_input_commodities,input_multipliers,delta_output_cost_per_unit,cost_basis_year,currency,max_share,rollout_limit_notes,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,non_stacking_group
produce_cement_equivalent,cement__cement_equivalent__grinding_system_upgrade,2025,Grinding system upgrade,Electricity-only grinding-system efficiency upgrade on non-CCS cement methods.,pure_efficiency_overlay,"[""cement_clinker__cement_equivalent__conventional"",""cement_clinker__cement_equivalent__low_clinker_alt_fuels""]","[""electricity""]",[0.95],0.9,2024,AUD_2024,0.05,"Grinding upgrades depend on major mill replacement or refurbishment cycles, so rollout should be materially slower than software-only optimisation packages.","[""S025"",""S026""]","[""A002"",""A003"",""A016"",""A017"",""A022"",""A023""]",Cement grinding upgrades are the cleanest accepted pure-efficiency overlay because they are electricity-only and avoid implicitly recreating clinker-factor or fuel-switch changes.,Use a conservative electricity-only multiplier near the middle of the accepted band so the package remains within the indicative 3 to 7 kWh/t cement-equivalent savings range.,Medium,Do not apply to CCS. Shares the cement non-stacking group with kiln AI process optimisation.,cement_equivalent_nonstacking
produce_cement_equivalent,cement__cement_equivalent__grinding_system_upgrade,2030,Grinding system upgrade,Electricity-only grinding-system efficiency upgrade on non-CCS cement methods.,pure_efficiency_overlay,"[""cement_clinker__cement_equivalent__conventional"",""cement_clinker__cement_equivalent__low_clinker_alt_fuels""]","[""electricity""]",[0.95],0.9,2024,AUD_2024,0.12,"Grinding upgrades depend on major mill replacement or refurbishment cycles, so rollout should be materially slower than software-only optimisation packages.","[""S025"",""S026""]","[""A002"",""A003"",""A016"",""A017"",""A022"",""A023""]",Cement grinding upgrades are the cleanest accepted pure-efficiency overlay because they are electricity-only and avoid implicitly recreating clinker-factor or fuel-switch changes.,Use a conservative electricity-only multiplier near the middle of the accepted band so the package remains within the indicative 3 to 7 kWh/t cement-equivalent savings range.,Medium,Do not apply to CCS. Shares the cement non-stacking group with kiln AI process optimisation.,cement_equivalent_nonstacking
produce_cement_equivalent,cement__cement_equivalent__grinding_system_upgrade,2035,Grinding system upgrade,Electricity-only grinding-system efficiency upgrade on non-CCS cement methods.,pure_efficiency_overlay,"[""cement_clinker__cement_equivalent__conventional"",""cement_clinker__cement_equivalent__low_clinker_alt_fuels""]","[""electricity""]",[0.95],0.9,2024,AUD_2024,0.2,"Grinding upgrades depend on major mill replacement or refurbishment cycles, so rollout should be materially slower than software-only optimisation packages.","[""S025"",""S026""]","[""A002"",""A003"",""A016"",""A017"",""A022"",""A023""]",Cement grinding upgrades are the cleanest accepted pure-efficiency overlay because they are electricity-only and avoid implicitly recreating clinker-factor or fuel-switch changes.,Use a conservative electricity-only multiplier near the middle of the accepted band so the package remains within the indicative 3 to 7 kWh/t cement-equivalent savings range.,Medium,Do not apply to CCS. Shares the cement non-stacking group with kiln AI process optimisation.,cement_equivalent_nonstacking
produce_cement_equivalent,cement__cement_equivalent__grinding_system_upgrade,2040,Grinding system upgrade,Electricity-only grinding-system efficiency upgrade on non-CCS cement methods.,pure_efficiency_overlay,"[""cement_clinker__cement_equivalent__conventional"",""cement_clinker__cement_equivalent__low_clinker_alt_fuels""]","[""electricity""]",[0.95],0.9,2024,AUD_2024,0.28,"Grinding upgrades depend on major mill replacement or refurbishment cycles, so rollout should be materially slower than software-only optimisation packages.","[""S025"",""S026""]","[""A002"",""A003"",""A016"",""A017"",""A022"",""A023""]",Cement grinding upgrades are the cleanest accepted pure-efficiency overlay because they are electricity-only and avoid implicitly recreating clinker-factor or fuel-switch changes.,Use a conservative electricity-only multiplier near the middle of the accepted band so the package remains within the indicative 3 to 7 kWh/t cement-equivalent savings range.,Medium,Do not apply to CCS. Shares the cement non-stacking group with kiln AI process optimisation.,cement_equivalent_nonstacking
produce_cement_equivalent,cement__cement_equivalent__grinding_system_upgrade,2045,Grinding system upgrade,Electricity-only grinding-system efficiency upgrade on non-CCS cement methods.,pure_efficiency_overlay,"[""cement_clinker__cement_equivalent__conventional"",""cement_clinker__cement_equivalent__low_clinker_alt_fuels""]","[""electricity""]",[0.95],0.9,2024,AUD_2024,0.36,"Grinding upgrades depend on major mill replacement or refurbishment cycles, so rollout should be materially slower than software-only optimisation packages.","[""S025"",""S026""]","[""A002"",""A003"",""A016"",""A017"",""A022"",""A023""]",Cement grinding upgrades are the cleanest accepted pure-efficiency overlay because they are electricity-only and avoid implicitly recreating clinker-factor or fuel-switch changes.,Use a conservative electricity-only multiplier near the middle of the accepted band so the package remains within the indicative 3 to 7 kWh/t cement-equivalent savings range.,Medium,Do not apply to CCS. Shares the cement non-stacking group with kiln AI process optimisation.,cement_equivalent_nonstacking
produce_cement_equivalent,cement__cement_equivalent__grinding_system_upgrade,2050,Grinding system upgrade,Electricity-only grinding-system efficiency upgrade on non-CCS cement methods.,pure_efficiency_overlay,"[""cement_clinker__cement_equivalent__conventional"",""cement_clinker__cement_equivalent__low_clinker_alt_fuels""]","[""electricity""]",[0.95],0.9,2024,AUD_2024,0.45,"Grinding upgrades depend on major mill replacement or refurbishment cycles, so rollout should be materially slower than software-only optimisation packages.","[""S025"",""S026""]","[""A002"",""A003"",""A016"",""A017"",""A022"",""A023""]",Cement grinding upgrades are the cleanest accepted pure-efficiency overlay because they are electricity-only and avoid implicitly recreating clinker-factor or fuel-switch changes.,Use a conservative electricity-only multiplier near the middle of the accepted band so the package remains within the indicative 3 to 7 kWh/t cement-equivalent savings range.,Medium,Do not apply to CCS. Shares the cement non-stacking group with kiln AI process optimisation.,cement_equivalent_nonstacking
produce_cement_equivalent,cement__cement_equivalent__kiln_ai_process_optimisation,2025,Kiln AI process optimisation,Operational kiln and plant-control optimisation package on non-CCS cement methods.,operational_efficiency_overlay,"[""cement_clinker__cement_equivalent__conventional"",""cement_clinker__cement_equivalent__low_clinker_alt_fuels""]","[""coal"",""natural_gas"",""biomass"",""electricity""]","[0.98,0.98,0.98,0.99]",0.4,2024,AUD_2024,0.08,"Operational optimisation can scale faster than heavy grinding retrofits, but keep the role-level cap moderate because persistence depends on data quality, ongoing tuning, and plant operating discipline.","[""S025"",""S026""]","[""A002"",""A003"",""A016"",""A017"",""A022"",""A023""]",Cement kiln-control optimisation is the strongest operational cement package because it is route-preserving and materially smaller than the broader clinker-factor and fuel-switch pathway changes.,Use a blended conservative multiplier on thermal fuels plus a smaller electricity effect so the package stays within the accepted modest operational range and below the full CIF pathway improvement band.,Medium,Do not apply to CCS. Shares the cement non-stacking group with the grinding-system upgrade.,cement_equivalent_nonstacking
produce_cement_equivalent,cement__cement_equivalent__kiln_ai_process_optimisation,2030,Kiln AI process optimisation,Operational kiln and plant-control optimisation package on non-CCS cement methods.,operational_efficiency_overlay,"[""cement_clinker__cement_equivalent__conventional"",""cement_clinker__cement_equivalent__low_clinker_alt_fuels""]","[""coal"",""natural_gas"",""biomass"",""electricity""]","[0.98,0.98,0.98,0.99]",0.4,2024,AUD_2024,0.18,"Operational optimisation can scale faster than heavy grinding retrofits, but keep the role-level cap moderate because persistence depends on data quality, ongoing tuning, and plant operating discipline.","[""S025"",""S026""]","[""A002"",""A003"",""A016"",""A017"",""A022"",""A023""]",Cement kiln-control optimisation is the strongest operational cement package because it is route-preserving and materially smaller than the broader clinker-factor and fuel-switch pathway changes.,Use a blended conservative multiplier on thermal fuels plus a smaller electricity effect so the package stays within the accepted modest operational range and below the full CIF pathway improvement band.,Medium,Do not apply to CCS. Shares the cement non-stacking group with the grinding-system upgrade.,cement_equivalent_nonstacking
produce_cement_equivalent,cement__cement_equivalent__kiln_ai_process_optimisation,2035,Kiln AI process optimisation,Operational kiln and plant-control optimisation package on non-CCS cement methods.,operational_efficiency_overlay,"[""cement_clinker__cement_equivalent__conventional"",""cement_clinker__cement_equivalent__low_clinker_alt_fuels""]","[""coal"",""natural_gas"",""biomass"",""electricity""]","[0.98,0.98,0.98,0.99]",0.4,2024,AUD_2024,0.28,"Operational optimisation can scale faster than heavy grinding retrofits, but keep the role-level cap moderate because persistence depends on data quality, ongoing tuning, and plant operating discipline.","[""S025"",""S026""]","[""A002"",""A003"",""A016"",""A017"",""A022"",""A023""]",Cement kiln-control optimisation is the strongest operational cement package because it is route-preserving and materially smaller than the broader clinker-factor and fuel-switch pathway changes.,Use a blended conservative multiplier on thermal fuels plus a smaller electricity effect so the package stays within the accepted modest operational range and below the full CIF pathway improvement band.,Medium,Do not apply to CCS. Shares the cement non-stacking group with the grinding-system upgrade.,cement_equivalent_nonstacking
produce_cement_equivalent,cement__cement_equivalent__kiln_ai_process_optimisation,2040,Kiln AI process optimisation,Operational kiln and plant-control optimisation package on non-CCS cement methods.,operational_efficiency_overlay,"[""cement_clinker__cement_equivalent__conventional"",""cement_clinker__cement_equivalent__low_clinker_alt_fuels""]","[""coal"",""natural_gas"",""biomass"",""electricity""]","[0.98,0.98,0.98,0.99]",0.4,2024,AUD_2024,0.35,"Operational optimisation can scale faster than heavy grinding retrofits, but keep the role-level cap moderate because persistence depends on data quality, ongoing tuning, and plant operating discipline.","[""S025"",""S026""]","[""A002"",""A003"",""A016"",""A017"",""A022"",""A023""]",Cement kiln-control optimisation is the strongest operational cement package because it is route-preserving and materially smaller than the broader clinker-factor and fuel-switch pathway changes.,Use a blended conservative multiplier on thermal fuels plus a smaller electricity effect so the package stays within the accepted modest operational range and below the full CIF pathway improvement band.,Medium,Do not apply to CCS. Shares the cement non-stacking group with the grinding-system upgrade.,cement_equivalent_nonstacking
produce_cement_equivalent,cement__cement_equivalent__kiln_ai_process_optimisation,2045,Kiln AI process optimisation,Operational kiln and plant-control optimisation package on non-CCS cement methods.,operational_efficiency_overlay,"[""cement_clinker__cement_equivalent__conventional"",""cement_clinker__cement_equivalent__low_clinker_alt_fuels""]","[""coal"",""natural_gas"",""biomass"",""electricity""]","[0.98,0.98,0.98,0.99]",0.4,2024,AUD_2024,0.4,"Operational optimisation can scale faster than heavy grinding retrofits, but keep the role-level cap moderate because persistence depends on data quality, ongoing tuning, and plant operating discipline.","[""S025"",""S026""]","[""A002"",""A003"",""A016"",""A017"",""A022"",""A023""]",Cement kiln-control optimisation is the strongest operational cement package because it is route-preserving and materially smaller than the broader clinker-factor and fuel-switch pathway changes.,Use a blended conservative multiplier on thermal fuels plus a smaller electricity effect so the package stays within the accepted modest operational range and below the full CIF pathway improvement band.,Medium,Do not apply to CCS. Shares the cement non-stacking group with the grinding-system upgrade.,cement_equivalent_nonstacking
produce_cement_equivalent,cement__cement_equivalent__kiln_ai_process_optimisation,2050,Kiln AI process optimisation,Operational kiln and plant-control optimisation package on non-CCS cement methods.,operational_efficiency_overlay,"[""cement_clinker__cement_equivalent__conventional"",""cement_clinker__cement_equivalent__low_clinker_alt_fuels""]","[""coal"",""natural_gas"",""biomass"",""electricity""]","[0.98,0.98,0.98,0.99]",0.4,2024,AUD_2024,0.45,"Operational optimisation can scale faster than heavy grinding retrofits, but keep the role-level cap moderate because persistence depends on data quality, ongoing tuning, and plant operating discipline.","[""S025"",""S026""]","[""A002"",""A003"",""A016"",""A017"",""A022"",""A023""]",Cement kiln-control optimisation is the strongest operational cement package because it is route-preserving and materially smaller than the broader clinker-factor and fuel-switch pathway changes.,Use a blended conservative multiplier on thermal fuels plus a smaller electricity effect so the package stays within the accepted modest operational range and below the full CIF pathway improvement band.,Medium,Do not apply to CCS. Shares the cement non-stacking group with the grinding-system upgrade.,cement_equivalent_nonstacking
