family_id,track_id,year,track_label,track_description,applicable_state_ids,affected_input_commodities,input_multipliers,delta_output_cost_per_unit,cost_basis_year,currency,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,double_counting_guardrail,review_notes
coal_mining,coal_mining__background_diesel_efficiency_drift,2025,Background diesel efficiency drift,"Exogenous fuel-efficiency improvement in diesel mining equipment driven by background fleet replacement and engine-technology advancement (Tier 4/5 emission standards, improved combustion). Approximately 8% cumulative reduction in diesel intensity per unit coal output by 2050, compounding at ~0.33%/yr.","[""coal_mining__conventional"", ""coal_mining__low_fugitive""]","[""refined_liquid_fuels""]",[1.0],0,2024,AUD_2024,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",Background diesel-engine efficiency improvement observed in NGERs mining energy data 2010-2023; consistent with Australian fleet turnover rates and Tier 4 Final engine standards rollout.,"Hybrid synthesis: incumbent states calibrated to NGERs, BREE and Geoscience Australia energy and emissions data; transition states reflect Australian and international mining equipment cost and performance evidence with smoothed milestone trajectories.",Medium-Low,"Applies only to conventional and low-fugitive states after the same embedded improvement is removed from those family_states rows. BEV, hydrogen, and integrated states are excluded — they replace diesel rather than improving it.",Kept as a narrow incumbent-diesel calibration artifact so autonomous drift stays distinct from the BEV and hydrogen pathway states.
coal_mining,coal_mining__background_diesel_efficiency_drift,2030,Background diesel efficiency drift,"Exogenous fuel-efficiency improvement in diesel mining equipment driven by background fleet replacement and engine-technology advancement (Tier 4/5 emission standards, improved combustion). Approximately 8% cumulative reduction in diesel intensity per unit coal output by 2050, compounding at ~0.33%/yr.","[""coal_mining__conventional"", ""coal_mining__low_fugitive""]","[""refined_liquid_fuels""]",[0.983462],0,2024,AUD_2024,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",Background diesel-engine efficiency improvement observed in NGERs mining energy data 2010-2023; consistent with Australian fleet turnover rates and Tier 4 Final engine standards rollout.,"Hybrid synthesis: incumbent states calibrated to NGERs, BREE and Geoscience Australia energy and emissions data; transition states reflect Australian and international mining equipment cost and performance evidence with smoothed milestone trajectories.",Medium-Low,"Applies only to conventional and low-fugitive states after the same embedded improvement is removed from those family_states rows. BEV, hydrogen, and integrated states are excluded — they replace diesel rather than improving it.",Kept as a narrow incumbent-diesel calibration artifact so autonomous drift stays distinct from the BEV and hydrogen pathway states.
coal_mining,coal_mining__background_diesel_efficiency_drift,2035,Background diesel efficiency drift,"Exogenous fuel-efficiency improvement in diesel mining equipment driven by background fleet replacement and engine-technology advancement (Tier 4/5 emission standards, improved combustion). Approximately 8% cumulative reduction in diesel intensity per unit coal output by 2050, compounding at ~0.33%/yr.","[""coal_mining__conventional"", ""coal_mining__low_fugitive""]","[""refined_liquid_fuels""]",[0.967197],0,2024,AUD_2024,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",Background diesel-engine efficiency improvement observed in NGERs mining energy data 2010-2023; consistent with Australian fleet turnover rates and Tier 4 Final engine standards rollout.,"Hybrid synthesis: incumbent states calibrated to NGERs, BREE and Geoscience Australia energy and emissions data; transition states reflect Australian and international mining equipment cost and performance evidence with smoothed milestone trajectories.",Medium-Low,"Applies only to conventional and low-fugitive states after the same embedded improvement is removed from those family_states rows. BEV, hydrogen, and integrated states are excluded — they replace diesel rather than improving it.",Kept as a narrow incumbent-diesel calibration artifact so autonomous drift stays distinct from the BEV and hydrogen pathway states.
coal_mining,coal_mining__background_diesel_efficiency_drift,2040,Background diesel efficiency drift,"Exogenous fuel-efficiency improvement in diesel mining equipment driven by background fleet replacement and engine-technology advancement (Tier 4/5 emission standards, improved combustion). Approximately 8% cumulative reduction in diesel intensity per unit coal output by 2050, compounding at ~0.33%/yr.","[""coal_mining__conventional"", ""coal_mining__low_fugitive""]","[""refined_liquid_fuels""]",[0.951202],0,2024,AUD_2024,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",Background diesel-engine efficiency improvement observed in NGERs mining energy data 2010-2023; consistent with Australian fleet turnover rates and Tier 4 Final engine standards rollout.,"Hybrid synthesis: incumbent states calibrated to NGERs, BREE and Geoscience Australia energy and emissions data; transition states reflect Australian and international mining equipment cost and performance evidence with smoothed milestone trajectories.",Medium-Low,"Applies only to conventional and low-fugitive states after the same embedded improvement is removed from those family_states rows. BEV, hydrogen, and integrated states are excluded — they replace diesel rather than improving it.",Kept as a narrow incumbent-diesel calibration artifact so autonomous drift stays distinct from the BEV and hydrogen pathway states.
coal_mining,coal_mining__background_diesel_efficiency_drift,2045,Background diesel efficiency drift,"Exogenous fuel-efficiency improvement in diesel mining equipment driven by background fleet replacement and engine-technology advancement (Tier 4/5 emission standards, improved combustion). Approximately 8% cumulative reduction in diesel intensity per unit coal output by 2050, compounding at ~0.33%/yr.","[""coal_mining__conventional"", ""coal_mining__low_fugitive""]","[""refined_liquid_fuels""]",[0.935471],0,2024,AUD_2024,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",Background diesel-engine efficiency improvement observed in NGERs mining energy data 2010-2023; consistent with Australian fleet turnover rates and Tier 4 Final engine standards rollout.,"Hybrid synthesis: incumbent states calibrated to NGERs, BREE and Geoscience Australia energy and emissions data; transition states reflect Australian and international mining equipment cost and performance evidence with smoothed milestone trajectories.",Medium-Low,"Applies only to conventional and low-fugitive states after the same embedded improvement is removed from those family_states rows. BEV, hydrogen, and integrated states are excluded — they replace diesel rather than improving it.",Kept as a narrow incumbent-diesel calibration artifact so autonomous drift stays distinct from the BEV and hydrogen pathway states.
coal_mining,coal_mining__background_diesel_efficiency_drift,2050,Background diesel efficiency drift,"Exogenous fuel-efficiency improvement in diesel mining equipment driven by background fleet replacement and engine-technology advancement (Tier 4/5 emission standards, improved combustion). Approximately 8% cumulative reduction in diesel intensity per unit coal output by 2050, compounding at ~0.33%/yr.","[""coal_mining__conventional"", ""coal_mining__low_fugitive""]","[""refined_liquid_fuels""]",[0.92],0,2024,AUD_2024,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",Background diesel-engine efficiency improvement observed in NGERs mining energy data 2010-2023; consistent with Australian fleet turnover rates and Tier 4 Final engine standards rollout.,"Hybrid synthesis: incumbent states calibrated to NGERs, BREE and Geoscience Australia energy and emissions data; transition states reflect Australian and international mining equipment cost and performance evidence with smoothed milestone trajectories.",Medium-Low,"Applies only to conventional and low-fugitive states after the same embedded improvement is removed from those family_states rows. BEV, hydrogen, and integrated states are excluded — they replace diesel rather than improving it.",Kept as a narrow incumbent-diesel calibration artifact so autonomous drift stays distinct from the BEV and hydrogen pathway states.
coal_mining,coal_mining__background_electricity_efficiency_drift,2025,Background electricity efficiency drift,"Exogenous electricity-intensity improvement from advances in electric motor efficiency (IE3→IE4), power electronics, pump and conveyor upgrades, and operational discipline. Approximately 9% cumulative reduction in electricity intensity per unit coal output by 2050, compounding at ~0.36%/yr.","[""coal_mining__conventional"", ""coal_mining__bev_haulage"", ""coal_mining__low_fugitive"", ""coal_mining__integrated_lc""]","[""electricity""]",[1.0],0,2024,AUD_2024,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",IE3/IE4 motor efficiency improvements documented in Australian Energy Efficiency Opportunities data; BREE industrial electricity efficiency trend. Separate from the explicit ventilation VSD package to avoid double-counting that specific measure.,"Hybrid synthesis: incumbent states calibrated to NGERs, BREE and Geoscience Australia energy and emissions data; transition states reflect Australian and international mining equipment cost and performance evidence with smoothed milestone trajectories.",Medium-Low,Non-stacking with the ventilation VSD efficiency package — that package captures targeted ventilation savings; this track covers all remaining background electric-motor and conveyor improvements. Hydrogen state excluded because its electricity coefficient is already sized at a modern efficient baseline.,Review multiplier against ABS energy accounts mining electricity intensity trend post-2025 to confirm ~0.36%/yr assumption.
coal_mining,coal_mining__background_electricity_efficiency_drift,2030,Background electricity efficiency drift,"Exogenous electricity-intensity improvement from advances in electric motor efficiency (IE3→IE4), power electronics, pump and conveyor upgrades, and operational discipline. Approximately 9% cumulative reduction in electricity intensity per unit coal output by 2050, compounding at ~0.36%/yr.","[""coal_mining__conventional"", ""coal_mining__bev_haulage"", ""coal_mining__low_fugitive"", ""coal_mining__integrated_lc""]","[""electricity""]",[0.981315],0,2024,AUD_2024,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",IE3/IE4 motor efficiency improvements documented in Australian Energy Efficiency Opportunities data; BREE industrial electricity efficiency trend. Separate from the explicit ventilation VSD package to avoid double-counting that specific measure.,"Hybrid synthesis: incumbent states calibrated to NGERs, BREE and Geoscience Australia energy and emissions data; transition states reflect Australian and international mining equipment cost and performance evidence with smoothed milestone trajectories.",Medium-Low,Non-stacking with the ventilation VSD efficiency package — that package captures targeted ventilation savings; this track covers all remaining background electric-motor and conveyor improvements. Hydrogen state excluded because its electricity coefficient is already sized at a modern efficient baseline.,Review multiplier against ABS energy accounts mining electricity intensity trend post-2025 to confirm ~0.36%/yr assumption.
coal_mining,coal_mining__background_electricity_efficiency_drift,2035,Background electricity efficiency drift,"Exogenous electricity-intensity improvement from advances in electric motor efficiency (IE3→IE4), power electronics, pump and conveyor upgrades, and operational discipline. Approximately 9% cumulative reduction in electricity intensity per unit coal output by 2050, compounding at ~0.36%/yr.","[""coal_mining__conventional"", ""coal_mining__bev_haulage"", ""coal_mining__low_fugitive"", ""coal_mining__integrated_lc""]","[""electricity""]",[0.962978],0,2024,AUD_2024,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",IE3/IE4 motor efficiency improvements documented in Australian Energy Efficiency Opportunities data; BREE industrial electricity efficiency trend. Separate from the explicit ventilation VSD package to avoid double-counting that specific measure.,"Hybrid synthesis: incumbent states calibrated to NGERs, BREE and Geoscience Australia energy and emissions data; transition states reflect Australian and international mining equipment cost and performance evidence with smoothed milestone trajectories.",Medium-Low,Non-stacking with the ventilation VSD efficiency package — that package captures targeted ventilation savings; this track covers all remaining background electric-motor and conveyor improvements. Hydrogen state excluded because its electricity coefficient is already sized at a modern efficient baseline.,Review multiplier against ABS energy accounts mining electricity intensity trend post-2025 to confirm ~0.36%/yr assumption.
coal_mining,coal_mining__background_electricity_efficiency_drift,2040,Background electricity efficiency drift,"Exogenous electricity-intensity improvement from advances in electric motor efficiency (IE3→IE4), power electronics, pump and conveyor upgrades, and operational discipline. Approximately 9% cumulative reduction in electricity intensity per unit coal output by 2050, compounding at ~0.36%/yr.","[""coal_mining__conventional"", ""coal_mining__bev_haulage"", ""coal_mining__low_fugitive"", ""coal_mining__integrated_lc""]","[""electricity""]",[0.944985],0,2024,AUD_2024,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",IE3/IE4 motor efficiency improvements documented in Australian Energy Efficiency Opportunities data; BREE industrial electricity efficiency trend. Separate from the explicit ventilation VSD package to avoid double-counting that specific measure.,"Hybrid synthesis: incumbent states calibrated to NGERs, BREE and Geoscience Australia energy and emissions data; transition states reflect Australian and international mining equipment cost and performance evidence with smoothed milestone trajectories.",Medium-Low,Non-stacking with the ventilation VSD efficiency package — that package captures targeted ventilation savings; this track covers all remaining background electric-motor and conveyor improvements. Hydrogen state excluded because its electricity coefficient is already sized at a modern efficient baseline.,Review multiplier against ABS energy accounts mining electricity intensity trend post-2025 to confirm ~0.36%/yr assumption.
coal_mining,coal_mining__background_electricity_efficiency_drift,2045,Background electricity efficiency drift,"Exogenous electricity-intensity improvement from advances in electric motor efficiency (IE3→IE4), power electronics, pump and conveyor upgrades, and operational discipline. Approximately 9% cumulative reduction in electricity intensity per unit coal output by 2050, compounding at ~0.36%/yr.","[""coal_mining__conventional"", ""coal_mining__bev_haulage"", ""coal_mining__low_fugitive"", ""coal_mining__integrated_lc""]","[""electricity""]",[0.927327],0,2024,AUD_2024,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",IE3/IE4 motor efficiency improvements documented in Australian Energy Efficiency Opportunities data; BREE industrial electricity efficiency trend. Separate from the explicit ventilation VSD package to avoid double-counting that specific measure.,"Hybrid synthesis: incumbent states calibrated to NGERs, BREE and Geoscience Australia energy and emissions data; transition states reflect Australian and international mining equipment cost and performance evidence with smoothed milestone trajectories.",Medium-Low,Non-stacking with the ventilation VSD efficiency package — that package captures targeted ventilation savings; this track covers all remaining background electric-motor and conveyor improvements. Hydrogen state excluded because its electricity coefficient is already sized at a modern efficient baseline.,Review multiplier against ABS energy accounts mining electricity intensity trend post-2025 to confirm ~0.36%/yr assumption.
coal_mining,coal_mining__background_electricity_efficiency_drift,2050,Background electricity efficiency drift,"Exogenous electricity-intensity improvement from advances in electric motor efficiency (IE3→IE4), power electronics, pump and conveyor upgrades, and operational discipline. Approximately 9% cumulative reduction in electricity intensity per unit coal output by 2050, compounding at ~0.36%/yr.","[""coal_mining__conventional"", ""coal_mining__bev_haulage"", ""coal_mining__low_fugitive"", ""coal_mining__integrated_lc""]","[""electricity""]",[0.91],0,2024,AUD_2024,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",IE3/IE4 motor efficiency improvements documented in Australian Energy Efficiency Opportunities data; BREE industrial electricity efficiency trend. Separate from the explicit ventilation VSD package to avoid double-counting that specific measure.,"Hybrid synthesis: incumbent states calibrated to NGERs, BREE and Geoscience Australia energy and emissions data; transition states reflect Australian and international mining equipment cost and performance evidence with smoothed milestone trajectories.",Medium-Low,Non-stacking with the ventilation VSD efficiency package — that package captures targeted ventilation savings; this track covers all remaining background electric-motor and conveyor improvements. Hydrogen state excluded because its electricity coefficient is already sized at a modern efficient baseline.,Review multiplier against ABS energy accounts mining electricity intensity trend post-2025 to confirm ~0.36%/yr assumption.
